year,school,jae_cluster,code,course,planned_intake_num
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,79
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,59
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,112
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,112
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,45
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,60
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,43
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,50
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,99
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,90
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,42
2018,SCHOOL OF DESIGN,BUILT ENVIRONMENT,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,66
2018,SCHOOL OF DESIGN,MEDIA & DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,52
2018,SCHOOL OF DESIGN,MEDIA & DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,85
2018,SCHOOL OF DESIGN,MEDIA & DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,74
2018,SCHOOL OF ENGINEERING,ENGINEERING,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,92
2018,SCHOOL OF ENGINEERING,ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,312
2018,SCHOOL OF ENGINEERING,ENGINEERING,C40,AEROSPACE/MECHATRONICS PROGRAMME,156
2018,SCHOOL OF ENGINEERING,ENGINEERING,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,48
2018,SCHOOL OF ENGINEERING,ENGINEERING,C89,DIPLOMA IN ELECTRONIC SYSTEMS,90
2018,SCHOOL OF ENGINEERING,ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,91
2018,SCHOOL OF ENGINEERING,ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,48
2018,SCHOOL OF ENGINEERING,ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,70
2018,SCHOOL OF ENGINEERING,ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,47
2018,SCHOOL OF ENGINEERING,ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,48
2018,SCHOOL OF ENGINEERING,ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,45
2018,SCHOOL OF ENGINEERING,ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,199
2018,SCHOOL OF ENGINEERING,ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,66
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),75
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C97,DIPLOMA IN NURSING,821
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,25
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,87
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,45
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,86
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C59,DIPLOMA IN INTERACTION DESIGN,70
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,50
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C61,DIPLOMA IN ANIMATION,90
2018,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C78,DIPLOMA IN BUSINESS INFORMATICS,100
2018,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C58,DIPLOMA IN FINANCIAL INFORMATICS,65
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,42
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,88
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C80,DIPLOMA IN INFOCOMM AND SECURITY,112
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C85,DIPLOMA IN INFORMATION TECHNOLOGY,146
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C34,COMMON BUSINESS PROGRAMME,251
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,251
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,56
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C99,DIPLOMA IN MARKETING,50
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,56
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,53
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,71
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,70
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,72
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,121
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCE,80
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,45
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,46
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,46
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,47
2019,SCHOOL OF DESIGN,BUILT ENVIRONMENT,C38,DIPLOMA IN ARCHITECTURE,60
2019,SCHOOL OF DESIGN,MEDIA & DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,75
2019,SCHOOL OF DESIGN,MEDIA & DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,69
2019,SCHOOL OF DESIGN,MEDIA & DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,52
2019,SCHOOL OF ENGINEERING,ENGINEERING,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,67
2019,SCHOOL OF ENGINEERING,ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,44
2019,SCHOOL OF ENGINEERING,ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,190
2019,SCHOOL OF ENGINEERING,ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,66
2019,SCHOOL OF ENGINEERING,ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2019,SCHOOL OF ENGINEERING,ENGINEERING,C89,DIPLOMA IN ELECTRONIC SYSTEMS,88
2019,SCHOOL OF ENGINEERING,ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,66
2019,SCHOOL OF ENGINEERING,ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,303
2019,SCHOOL OF ENGINEERING,ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,44
2019,SCHOOL OF ENGINEERING,ENGINEERING,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,68
2019,SCHOOL OF ENGINEERING,ENGINEERING,C40,AEROSPACE/MECHATRONICS PROGRAMME,118
2019,SCHOOL OF ENGINEERING,ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,44
2019,SCHOOL OF ENGINEERING,ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,44
2019,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C97,DIPLOMA IN NURSING,810
2019,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),52
2019,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,24
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,85
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,40
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C61,DIPLOMA IN ANIMATION,85
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,49
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C59,DIPLOMA IN INTERACTION DESIGN,57
2019,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,74
2019,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,97
2019,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C36,COMMON ICT PROGRAMME,150
2019,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,38
2019,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C54,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,60
2019,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C85,DIPLOMA IN INFORMATION TECHNOLOGY,97
2019,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C80,DIPLOMA IN INFOCOMM & SECURITY,65
2020,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCE,80
2020,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,46
2020,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,60
2020,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,46
2020,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,127
